# timestamps [seconds],pts
38714.666022,935574
38714.698066,937674
38714.730030,939769
38714.766028,942128
38714.798077,944228
38714.834041,946585
38714.866057,948683
38714.898039,950779
38714.934026,953138
38714.966059,955237
38714.998076,957335
38715.034024,959691
38715.066065,961791
38715.102037,964148
38715.134034,966245
38715.166053,968344
38715.202056,970703
38715.234021,972798
38715.266102,974900
38715.302067,977257
38715.334018,979351
38715.370142,981719
38715.402037,983809
38715.434057,985907
38715.470107,988270
38715.502073,990365
38715.534033,992459
38715.570095,994823
38715.602056,996917
38715.637997,999273
38715.670138,1001379
38715.702157,1003477
38715.738022,1005828
38715.770029,1007925
38715.805996,1010282
38715.837997,1012380
38715.870142,1014486
38715.905964,1016834
38715.938049,1018936
38715.970069,1021035
38716.006061,1023394
38716.037997,1025487
38716.074046,1027849
38716.106054,1029947
38716.138000,1032040
38716.173965,1034397
38716.206019,1036498
38716.238114,1038601
38716.274053,1040956
38716.306018,1043051
38716.342113,1045417
38716.374038,1047509
38716.406050,1049607
38716.442060,1051967
38716.474023,1054061
38716.506116,1056165
38716.542035,1058519
38716.574064,1060618
38716.610112,1062980
38716.642059,1065074
38716.674029,1067169
38716.710065,1069530
38716.742053,1071627
38716.774048,1073724
38716.810107,1076087
38716.841983,1078176
38716.877984,1080535
38716.910091,1082639
38716.942044,1084733
38716.978051,1087093
38717.010109,1089194
38717.042072,1091289
38717.078030,1093645
38717.110201,1095753
38717.146028,1098101
38717.178068,1100201
38717.210114,1102301
38717.246044,1104656
38717.278013,1106751
38717.314034,1109112
38717.346084,1111212
38717.378068,1113308
38717.414062,1115667
38717.445988,1117759
38717.514085,1122222
38717.714026,1135325
38717.782039,1139782
38718.450044,1183560
38718.518074,1188018
38718.686084,1199029
38718.785978,1205575
38718.886094,1212137
38719.021999,1221043
38719.122009,1227597
38719.626051,1260630
38719.790133,1271383
38719.858050,1275834
38720.058070,1288942
38720.226019,1299949
38720.326049,1306504
38720.362014,1308861
38720.394033,1310959
38720.430107,1313323
38720.462092,1315420
38720.494036,1317513
38720.530069,1319874
38720.562011,1321968
38720.598017,1324327
38720.630135,1326432
38720.661964,1328518
38720.698040,1330882
38720.730037,1332979
38720.762079,1335079
38720.797970,1337431
38720.830069,1339535
38720.866031,1341892
38720.898112,1343994
38720.930075,1346089
38720.966071,1348448
38720.998000,1350540
38721.030154,1352648
38721.066047,1355000
38721.098040,1357096
38721.134077,1359458
38721.166059,1361554
38721.198041,1363650
38721.233999,1366007
38721.266009,1368104
38721.298006,1370201
38721.334025,1372562
38721.366021,1374659
38721.402029,1377018
38721.434024,1379115
38721.466018,1381212
38721.501971,1383568
38721.533993,1385667
38721.566000,1387764
38721.602098,1390130
38721.634002,1392221
38721.670051,1394583
38721.702017,1396678
38721.734015,1398775
38721.770070,1401138
38721.802047,1403234
38721.834002,1405328
38721.869995,1407687
38721.901997,1409784
38721.937983,1412142
38721.970062,1414244
38722.002084,1416343
38722.038042,1418699
38722.070065,1420798
38722.106021,1423154
38722.138035,1425253
38722.170084,1427353
38722.206020,1429708
38722.238043,1431807
38722.270051,1433904
38722.306021,1436261
38722.338133,1438366
38722.374042,1440719
38722.406064,1442818
38722.438000,1444911
38722.474055,1447274
38722.505991,1449366
38722.538072,1451469
38722.573999,1453823
38722.606232,1455936
38722.642024,1458281
38722.674044,1460380
38722.706026,1462476
38722.742023,1464835
38722.774002,1466931
38722.806034,1469030
38722.842140,1471396
38722.874067,1473488
38722.910069,1475848
38722.942090,1477946
38722.974065,1480042
38723.010088,1482402
38723.042059,1484498
38723.074056,1486595
38723.110087,1488956
38723.142065,1491052
38723.178005,1493407
38723.210008,1495504
38723.242044,1497604
38723.278074,1499965
38723.310106,1502064
38723.342053,1504158
38723.378017,1506515
38723.410014,1508612
38723.446027,1510972
38723.477988,1513066
38723.510075,1515169
38723.546050,1517527
38723.578042,1519623
38723.614015,1521981
38723.646059,1524081
38723.678020,1526175
38723.714029,1528535
38723.746080,1530636
38723.777964,1532725
38723.814055,1535090
38723.846059,1537188
38723.881997,1539543
